experiment,config,run,prompt_tokens_target,max_tokens,ttft_ms,total_ms,status_code,prompt_tokens_actual,completion_tokens,error
exp1,DISAGG-D1,5,100,20,187.34,187.37,200,121,12,
exp1,DISAGG-D1,6,100,20,267.03,267.06,200,121,20,
exp1,DISAGG-D1,7,100,20,267.49,267.52,200,121,20,
exp1,DISAGG-D1,8,100,20,265.39,265.42,200,121,20,
exp1,DISAGG-D1,9,100,20,273.14,273.17,200,121,20,
exp1,DISAGG-D1,10,100,20,194.27,194.29,200,121,13,
exp1,DISAGG-D1,11,100,20,270.81,270.84,200,121,20,
exp1,DISAGG-D1,12,100,20,271.21,271.24,200,121,20,
exp1,DISAGG-D1,13,100,20,96.41,96.43,200,121,3,
exp1,DISAGG-D1,14,100,20,264.0,264.03,200,121,20,
exp1,DISAGG-D1,15,100,20,265.09,265.12,200,121,20,
exp1,DISAGG-D1,16,100,20,267.37,267.4,200,121,20,
exp1,DISAGG-D1,17,100,20,271.67,271.7,200,121,20,
exp1,DISAGG-D1,18,100,20,273.11,273.14,200,121,20,
exp1,DISAGG-D1,19,100,20,268.38,268.41,200,121,20,
exp1,DISAGG-D1,20,100,20,267.54,267.57,200,121,20,
exp1,DISAGG-D2,1,100,20,261.61,261.63,200,121,20,
exp1,DISAGG-D2,2,100,20,261.41,261.44,200,121,20,
exp1,DISAGG-D2,3,100,20,261.52,261.55,200,121,20,
exp1,DISAGG-D2,4,100,20,262.74,262.77,200,121,20,
exp1,DISAGG-D2,5,100,20,274.28,274.3,200,121,20,
exp1,DISAGG-D2,6,100,20,263.34,263.37,200,121,20,
exp1,DISAGG-D2,7,100,20,261.95,261.98,200,121,20,
exp1,DISAGG-D2,8,100,20,260.84,260.87,200,121,20,
exp1,DISAGG-D2,9,100,20,259.08,259.11,200,121,20,
exp1,DISAGG-D2,10,100,20,261.9,261.92,200,121,20,
exp1,DISAGG-D2,11,100,20,77.81,77.83,200,121,1,
exp1,DISAGG-D2,12,100,20,259.8,259.82,200,121,20,
exp1,DISAGG-D2,13,100,20,263.58,263.6,200,121,20,
exp1,DISAGG-D2,14,100,20,261.54,261.56,200,121,20,
exp1,DISAGG-D2,15,100,20,259.9,259.93,200,121,20,
exp1,DISAGG-D2,16,100,20,264.11,264.13,200,121,20,
exp1,DISAGG-D2,17,100,20,262.7,262.73,200,121,20,
exp1,DISAGG-D2,18,100,20,263.82,263.85,200,121,20,
exp1,DISAGG-D2,19,100,20,262.13,262.16,200,121,20,
exp1,DISAGG-D2,20,100,20,262.4,262.45,200,121,20,
exp1,BASELINE,1,500,20,212.47,212.5,200,601,20,
exp1,BASELINE,2,500,20,210.64,210.68,200,601,20,
exp1,BASELINE,3,500,20,211.67,211.71,200,601,20,
