experiment,config,run,concurrency,ttft_ms,total_ms,status_code,target,error
exp2,BASELINE,11,8,353.31,353.33,200,d1,
exp2,BASELINE,12,8,353.63,353.67,200,d1,
exp2,BASELINE,13,8,177.19,177.21,200,d1,
exp2,BASELINE,14,8,352.67,352.69,200,d1,
exp2,BASELINE,15,8,351.85,351.87,200,d1,
exp2,BASELINE,16,8,351.01,351.05,200,d1,
exp2,BASELINE,17,8,331.9,331.93,200,d1,
exp2,BASELINE,18,8,343.18,343.2,200,d1,
exp2,BASELINE,19,8,342.64,342.66,200,d1,
exp2,BASELINE,20,8,342.84,342.89,200,d1,
exp2,DISAGG-1D,1,8,4225.9,4225.95,200,d1,
exp2,DISAGG-1D,2,8,4056.65,4056.69,200,d1,
exp2,DISAGG-1D,3,8,4225.11,4225.13,200,d1,
exp2,DISAGG-1D,4,8,4221.46,4221.5,200,d1,
exp2,DISAGG-1D,5,8,4121.65,4121.69,200,d1,
exp2,DISAGG-1D,6,8,4220.15,4220.17,200,d1,
exp2,DISAGG-1D,7,8,4196.74,4196.76,200,d1,
exp2,DISAGG-1D,8,8,4185.38,4185.41,200,d1,
exp2,DISAGG-1D,9,8,4314.13,4314.15,200,d1,
exp2,DISAGG-1D,10,8,4311.05,4311.08,200,d1,
exp2,DISAGG-1D,11,8,4286.97,4286.99,200,d1,
exp2,DISAGG-1D,12,8,4321.02,4321.12,200,d1,
exp2,DISAGG-1D,13,8,4309.52,4309.57,200,d1,
exp2,DISAGG-1D,14,8,4208.9,4208.94,200,d1,
exp2,DISAGG-1D,15,8,4274.34,4274.37,200,d1,
exp2,DISAGG-1D,16,8,4311.7,4311.72,200,d1,
exp2,DISAGG-1D,17,8,1211.5,1211.52,200,d1,
exp2,DISAGG-1D,18,8,1157.16,1157.19,200,d1,
exp2,DISAGG-1D,19,8,1229.36,1229.4,200,d1,
exp2,DISAGG-1D,20,8,1210.1,1210.13,200,d1,
exp2,DISAGG-2D,1,8,4045.88,4045.91,200,d1,
exp2,DISAGG-2D,2,8,4220.48,4220.53,200,d2,
exp2,DISAGG-2D,3,8,4184.14,4184.16,200,d1,
exp2,DISAGG-2D,4,8,4199.09,4199.11,200,d2,
exp2,DISAGG-2D,5,8,4193.72,4193.74,200,d1,
exp2,DISAGG-2D,6,8,4177.22,4177.25,200,d2,
exp2,DISAGG-2D,7,8,4211.96,4211.98,200,d1,
exp2,DISAGG-2D,8,8,4236.8,4236.84,200,d2,
exp2,DISAGG-2D,9,8,4143.12,4143.18,200,d1,
exp2,DISAGG-2D,10,8,4008.76,4008.79,200,d2,
exp2,DISAGG-2D,11,8,4131.82,4131.85,200,d1,
exp2,DISAGG-2D,12,8,4060.66,4060.68,200,d2,
exp2,DISAGG-2D,13,8,4034.59,4034.62,200,d1,
exp2,DISAGG-2D,14,8,4068.86,4068.89,200,d2,
exp2,DISAGG-2D,15,8,4143.71,4143.77,200,d1,
exp2,DISAGG-2D,16,8,4048.21,4048.23,200,d2,
exp2,DISAGG-2D,17,8,972.01,972.04,200,d1,
exp2,DISAGG-2D,18,8,1127.77,1127.79,200,d2,
exp2,DISAGG-2D,19,8,1161.07,1161.12,200,d1,
exp2,DISAGG-2D,20,8,1126.85,1126.88,200,d2,
exp2,BASELINE,1,16,302.59,302.63,200,d1,
exp2,BASELINE,2,16,370.17,370.19,200,d1,
exp2,BASELINE,3,16,370.25,370.27,200,d1,
exp2,BASELINE,4,16,370.07,370.09,200,d1,
exp2,BASELINE,5,16,369.91,369.96,200,d1,
exp2,BASELINE,6,16,368.14,368.16,200,d1,
exp2,BASELINE,7,16,368.23,368.25,200,d1,
exp2,BASELINE,8,16,368.64,368.66,200,d1,
exp2,BASELINE,9,16,377.79,377.81,200,d1,
exp2,BASELINE,10,16,377.94,377.96,200,d1,
exp2,BASELINE,11,16,377.82,377.84,200,d1,
exp2,BASELINE,12,16,376.67,376.69,200,d1,
exp2,BASELINE,13,16,376.44,376.46,200,d1,
exp2,BASELINE,14,16,377.08,377.12,200,d1,
exp2,BASELINE,15,16,328.32,328.35,200,d1,
exp2,BASELINE,16,16,373.9,373.94,200,d1,
exp2,BASELINE,17,16,330.6,330.63,200,d1,
exp2,BASELINE,18,16,342.18,342.22,200,d1,
exp2,BASELINE,19,16,341.26,341.28,200,d1,
exp2,BASELINE,20,16,341.11,341.13,200,d1,
exp2,DISAGG-1D,1,16,15644.58,15644.61,200,d1,
exp2,DISAGG-1D,2,16,14373.38,14373.41,200,d1,
exp2,DISAGG-1D,3,16,15890.35,15890.39,200,d1,
exp2,DISAGG-1D,4,16,15868.7,15868.72,200,d1,
exp2,DISAGG-1D,5,16,15875.83,15875.85,200,d1,
