experiment,config,prompt_tokens_target,run,ttft_ms,total_ms,status_code,prompt_tokens_actual,completion_tokens,error
exp5,D-disaggregated,50,2,276.99,277.02,200,61,20,
exp5,D-disaggregated,50,3,274.84,274.86,200,61,20,
exp5,D-disaggregated,50,4,281.39,281.41,200,61,20,
exp5,D-disaggregated,50,5,277.97,277.99,200,61,20,
exp5,D-disaggregated,50,6,77.18,77.2,200,61,1,
exp5,D-disaggregated,50,7,269.87,269.9,200,61,20,
exp5,D-disaggregated,50,8,269.12,269.15,200,61,20,
exp5,D-disaggregated,50,9,271.07,271.1,200,61,20,
exp5,D-disaggregated,50,10,277.22,277.25,200,61,20,
exp5,D-disaggregated,50,11,273.3,273.33,200,61,20,
exp5,D-disaggregated,50,12,274.48,274.52,200,61,20,
exp5,D-disaggregated,50,13,77.77,77.79,200,61,1,
exp5,D-disaggregated,50,14,271.32,271.34,200,61,20,
exp5,D-disaggregated,50,15,275.47,275.5,200,61,20,
exp5,D-disaggregated,50,16,269.4,269.43,200,61,20,
exp5,D-disaggregated,50,17,196.86,196.89,200,61,13,
exp5,D-disaggregated,50,18,276.78,276.81,200,61,20,
exp5,D-disaggregated,50,19,271.41,271.45,200,61,20,
exp5,D-disaggregated,50,20,269.34,269.37,200,61,20,
exp5,D-disaggregated,50,21,273.9,273.93,200,61,20,
exp5,D-disaggregated,50,22,268.57,268.6,200,61,20,
exp5,D-disaggregated,50,23,270.78,270.82,200,61,20,
exp5,D-disaggregated,50,24,273.73,273.76,200,61,20,
exp5,D-disaggregated,50,25,274.38,274.41,200,61,20,
exp5,D-disaggregated,50,26,270.76,270.79,200,61,20,
exp5,D-disaggregated,50,27,274.47,274.49,200,61,20,
exp5,D-disaggregated,50,28,273.24,273.27,200,61,20,
exp5,D-disaggregated,50,29,273.19,273.22,200,61,20,
exp5,D-disaggregated,50,30,273.69,273.72,200,61,20,
exp5,A-prefill-direct,100,1,205.25,205.28,200,121,20,
exp5,A-prefill-direct,100,2,205.15,205.17,200,121,20,
exp5,A-prefill-direct,100,3,205.07,205.1,200,121,20,
exp5,A-prefill-direct,100,4,205.51,205.54,200,121,20,
exp5,A-prefill-direct,100,5,206.35,206.38,200,121,20,
exp5,A-prefill-direct,100,6,20.13,20.15,200,121,1,
exp5,A-prefill-direct,100,7,208.42,208.44,200,121,20,
exp5,A-prefill-direct,100,8,206.1,206.13,200,121,20,
exp5,A-prefill-direct,100,9,206.14,206.17,200,121,20,
exp5,A-prefill-direct,100,10,208.14,208.17,200,121,20,
exp5,A-prefill-direct,100,11,206.02,206.05,200,121,20,
exp5,A-prefill-direct,100,12,206.12,206.14,200,121,20,
exp5,A-prefill-direct,100,13,206.6,206.63,200,121,20,
exp5,A-prefill-direct,100,14,207.54,207.57,200,121,20,
exp5,A-prefill-direct,100,15,205.53,205.56,200,121,20,
exp5,A-prefill-direct,100,16,135.9,135.93,200,121,13,
exp5,A-prefill-direct,100,17,210.2,210.24,200,121,20,
exp5,A-prefill-direct,100,18,206.84,206.87,200,121,20,
exp5,A-prefill-direct,100,19,206.32,206.35,200,121,20,
exp5,A-prefill-direct,100,20,206.26,206.28,200,121,20,
exp5,A-prefill-direct,100,21,67.59,67.61,200,121,6,
exp5,A-prefill-direct,100,22,210.91,210.93,200,121,20,
exp5,A-prefill-direct,100,23,206.73,206.75,200,121,20,
exp5,A-prefill-direct,100,24,206.7,206.73,200,121,20,
exp5,A-prefill-direct,100,25,207.93,207.96,200,121,20,
exp5,A-prefill-direct,100,26,207.86,207.89,200,121,20,
exp5,A-prefill-direct,100,27,29.73,29.75,200,121,2,
exp5,A-prefill-direct,100,28,109.64,109.66,200,121,10,
exp5,A-prefill-direct,100,29,212.04,212.07,200,121,20,
exp5,A-prefill-direct,100,30,207.81,207.84,200,121,20,
exp5,B-decode-direct,100,1,210.54,210.56,200,121,20,
exp5,B-decode-direct,100,2,210.85,210.88,200,121,20,
exp5,B-decode-direct,100,3,210.91,210.94,200,121,20,
exp5,B-decode-direct,100,4,211.76,211.78,200,121,20,
exp5,B-decode-direct,100,5,212.49,212.51,200,121,20,
exp5,B-decode-direct,100,6,211.4,211.43,200,121,20,
exp5,B-decode-direct,100,7,212.05,212.08,200,121,20,
exp5,B-decode-direct,100,8,213.96,213.99,200,121,20,
exp5,B-decode-direct,100,9,209.67,209.69,200,121,20,
exp5,B-decode-direct,100,10,213.03,213.05,200,121,20,
exp5,B-decode-direct,100,11,211.7,211.72,200,121,20,
exp5,B-decode-direct,100,12,20.3,20.32,200,121,1,
exp5,B-decode-direct,100,13,212.55,212.58,200,121,20,
exp5,B-decode-direct,100,14,213.19,213.22,200,121,20,
exp5,B-decode-direct,100,15,210.4,210.43,200,121,20,
